timestamp,waste_feeling,waste_rating,waste_location,waste_seen_today,waste_location_today,waste_type_today,activities_frequency,activities,activities_today,activities_wasteful,sports_value,sports_waste_frequency,sports_littering,sports_event_waste,measures,measures_responsible,measures_frequency,age,gender
2025-06-01T13:38:44Z,2,5,"Along paths or trails, Around picnic areas or benches",Yes,Along paths or trails,Plastic Bottles,1,Walking / Running,Walking / Running,"Barbecue or Picnic, Camping",2,1,No,I'm not sure,"Removal by authorities, More trash bins",Pick up by the one who left it,12,20,Male
2025-06-01T18:52:44Z,1,3,"Along paths or trails, Around picnic areas or benches, Near parking lots",Yes,"Along paths or trails, Around picnic areas or benches","Paper or Cardboard, Food Packaging, Cigarette Butts, Dog waste bags",6,"Barbecue or Picnic, Walking / Running, Cycling / Biking",Walking / Running,"Barbecue or Picnic, Camping",5,2,No,No,"Organized clean-up events, Volunteer forest rangers",Volunteers should pick it up,52,31,Male
2025-06-01T19:08:57Z,1,2,"Around picnic areas or benches, Near parking lots",Yes,Around picnic areas or benches,"Food Packaging, Cigarette Butts, Dog waste bags",5,"Barbecue or Picnic, Walking / Running, Cycling / Biking",Walking / Running,"Barbecue or Picnic, Walking / Running",5,2,No,I'm not sure,"Removal by authorities, Organized clean-up events",Volunteers should pick it up,50,30,Male
2025-06-01T19:22:58Z,1,4,Around picnic areas or benches,Yes,"Along paths or trails, Around picnic areas or benches, Near parking lots","Paper or Cardboard, Plastic Bottles, Cans",5,Walking / Running,Walking / Running,"Barbecue or Picnic, Camping",5,1,No,Yes,"More trash bins, Fines for littering",Pick up by the one who left it,100,21,Female
2025-06-01T19:36:57Z,1,3,Around picnic areas or benches,No,NA,NA,7,"Walking / Running, Cycling / Biking",Walking / Running,"Barbecue or Picnic, Camping",5,3,No,Yes,"Signs telling people to take their trash home, Fines for littering",Pick up by the one who left it,180,22,Male
2025-06-01T19:40:46Z,1,4,Around picnic areas or benches,No,NA,NA,3,Walking / Running,Walking / Running,Barbecue or Picnic,5,2,No,No,Fines for littering,Pick up by the one who left it,10,33,Male
2025-06-01T20:06:16Z,2,4,"Along paths or trails, Around picnic areas or benches",No,NA,NA,2,"Walking / Running, Photography",Walking / Running,"Barbecue or Picnic, Camping",5,1,No,I'm not sure,"More trash bins, Organized clean-up events",Pick up by the one who left it,10,19,Male
2025-06-01T20:18:43Z,1,4,Idk,No,NA,NA,6,Walking / Running,Walking / Running,"Barbecue or Picnic, Horse Riding",5,1,No,No,"Fines for littering, Volunteer forest rangers",Pick up by the one who left it,10,23,Male
2025-06-01T20:22:00Z,2,4,"Around picnic areas or benches, Near parking lots",Yes,Along paths or trails,"Paper or Cardboard, Cigarette Butts, Horse shit",6,"Walking / Running, Cycling / Biking","Walking / Running, Cycling / Biking","Barbecue or Picnic, Horse Riding",5,2,No,Yes,"More trash bins, Fines for littering",Pick up by the one who left it,12,22,Male
2025-06-01T20:22:02Z,2,4,Around picnic areas or benches,No,NA,NA,0,"Barbecue or Picnic, Camping, Walking / Running",None,"Barbecue or Picnic, Camping",3,1,No,I'm not sure,"Removal by authorities, Volunteer forest rangers",Pick up by the one who left it,18,26,Male
