id,timestamp,date,time,weekday,gender,age,waste_feeling,waste_rating,waste_location,activities_frequency,activities,activities_today,activities_wasteful,sports_value,sports_waste_frequency,sports_littering,sports_event_waste,measures,measures_responsible,measures_frequency,waste_seen_today,waste_location_today,waste_type_today
1,2025-06-01T13:38:44Z,2025-06-01,13:38:44,sunday,male,20,2,5,paths,1,walking,walking,picnic,2,1,no,unsure,authorities,litterer,12,TRUE,paths,plasticbottles
1,2025-06-01T13:38:44Z,2025-06-01,13:38:44,sunday,male,20,2,5,paths,1,walking,walking,picnic,2,1,no,unsure,bins,litterer,12,TRUE,paths,plasticbottles
1,2025-06-01T13:38:44Z,2025-06-01,13:38:44,sunday,male,20,2,5,paths,1,walking,walking,camping,2,1,no,unsure,authorities,litterer,12,TRUE,paths,plasticbottles
1,2025-06-01T13:38:44Z,2025-06-01,13:38:44,sunday,male,20,2,5,paths,1,walking,walking,camping,2,1,no,unsure,bins,litterer,12,TRUE,paths,plasticbottles
1,2025-06-01T13:38:44Z,2025-06-01,13:38:44,sunday,male,20,2,5,picnicareas,1,walking,walking,picnic,2,1,no,unsure,authorities,litterer,12,TRUE,paths,plasticbottles
1,2025-06-01T13:38:44Z,2025-06-01,13:38:44,sunday,male,20,2,5,picnicareas,1,walking,walking,picnic,2,1,no,unsure,bins,litterer,12,TRUE,paths,plasticbottles
1,2025-06-01T13:38:44Z,2025-06-01,13:38:44,sunday,male,20,2,5,picnicareas,1,walking,walking,camping,2,1,no,unsure,authorities,litterer,12,TRUE,paths,plasticbottles
1,2025-06-01T13:38:44Z,2025-06-01,13:38:44,sunday,male,20,2,5,picnicareas,1,walking,walking,camping,2,1,no,unsure,bins,litterer,12,TRUE,paths,plasticbottles
2,2025-06-01T18:52:44Z,2025-06-01,18:52:44,sunday,male,31,1,3,paths,6,picnic,walking,picnic,5,2,no,no,cleanupevent,volunteers,52,TRUE,paths,paper
2,2025-06-01T18:52:44Z,2025-06-01,18:52:44,sunday,male,31,1,3,paths,6,picnic,walking,picnic,5,2,no,no,cleanupevent,volunteers,52,TRUE,paths,foodpackaging
2,2025-06-01T18:52:44Z,2025-06-01,18:52:44,sunday,male,31,1,3,paths,6,picnic,walking,picnic,5,2,no,no,cleanupevent,volunteers,52,TRUE,paths,cigarettes
2,2025-06-01T18:52:44Z,2025-06-01,18:52:44,sunday,male,31,1,3,paths,6,picnic,walking,picnic,5,2,no,no,cleanupevent,volunteers,52,TRUE,paths,dogwastebag
2,2025-06-01T18:52:44Z,2025-06-01,18:52:44,sunday,male,31,1,3,paths,6,picnic,walking,picnic,5,2,no,no,cleanupevent,volunteers,52,TRUE,picnicareas,paper
2,2025-06-01T18:52:44Z,2025-06-01,18:52:44,sunday,male,31,1,3,paths,6,picnic,walking,picnic,5,2,no,no,cleanupevent,volunteers,52,TRUE,picnicareas,foodpackaging
2,2025-06-01T18:52:44Z,2025-06-01,18:52:44,sunday,male,31,1,3,paths,6,picnic,walking,picnic,5,2,no,no,cleanupevent,volunteers,52,TRUE,picnicareas,cigarettes
2,2025-06-01T18:52:44Z,2025-06-01,18:52:44,sunday,male,31,1,3,paths,6,picnic,walking,picnic,5,2,no,no,cleanupevent,volunteers,52,TRUE,picnicareas,dogwastebag
2,2025-06-01T18:52:44Z,2025-06-01,18:52:44,sunday,male,31,1,3,paths,6,picnic,walking,picnic,5,2,no,no,volunteers,volunteers,52,TRUE,paths,paper
2,2025-06-01T18:52:44Z,2025-06-01,18:52:44,sunday,male,31,1,3,paths,6,picnic,walking,picnic,5,2,no,no,volunteers,volunteers,52,TRUE,paths,foodpackaging
2,2025-06-01T18:52:44Z,2025-06-01,18:52:44,sunday,male,31,1,3,paths,6,picnic,walking,picnic,5,2,no,no,volunteers,volunteers,52,TRUE,paths,cigarettes
2,2025-06-01T18:52:44Z,2025-06-01,18:52:44,sunday,male,31,1,3,paths,6,picnic,walking,picnic,5,2,no,no,volunteers,volunteers,52,TRUE,paths,dogwastebag
2,2025-06-01T18:52:44Z,2025-06-01,18:52:44,sunday,male,31,1,3,paths,6,picnic,walking,picnic,5,2,no,no,volunteers,volunteers,52,TRUE,picnicareas,paper
2,2025-06-01T18:52:44Z,2025-06-01,18:52:44,sunday,male,31,1,3,paths,6,picnic,walking,picnic,5,2,no,no,volunteers,volunteers,52,TRUE,picnicareas,foodpackaging
2,2025-06-01T18:52:44Z,2025-06-01,18:52:44,sunday,male,31,1,3,paths,6,picnic,walking,picnic,5,2,no,no,volunteers,volunteers,52,TRUE,picnicareas,cigarettes
2,2025-06-01T18:52:44Z,2025-06-01,18:52:44,sunday,male,31,1,3,paths,6,picnic,walking,picnic,5,2,no,no,volunteers,volunteers,52,TRUE,picnicareas,dogwastebag
2,2025-06-01T18:52:44Z,2025-06-01,18:52:44,sunday,male,31,1,3,paths,6,picnic,walking,camping,5,2,no,no,cleanupevent,volunteers,52,TRUE,paths,paper
